Obs,experiment,year,treatment,plot,subplot_id,id,date,flowering_time
217,DN13,2013,sparse,32,32011,RIL_171,06/12/2013,40
218,DN13,2013,sparse,32,32012,RIL_016,06/10/2013,38
219,DN13,2013,sparse,32,32013,RIL_025,06/06/2013,34
220,DN13,2013,sparse,32,32014,A10,06/03/2013,31
221,DN13,2013,sparse,32,32015,RIL_142,06/06/2013,34
222,DN13,2013,sparse,32,32016,A10,06/03/2013,30
223,DN13,2013,sparse,32,32017,A10,05/31/2013,28
224,DN13,2013,sparse,32,32018,RIL_027,06/10/2013,38
225,DN13,2013,sparse,32,32019,RIL_024,06/11/2013,39
226,DN13,2013,sparse,32,32021,RIL_129,06/12/2013,40
227,DN13,2013,sparse,32,32022,RIL_069,06/11/2013,39
228,DN13,2013,sparse,32,32023,RIL_116,06/10/2013,38
229,DN13,2013,sparse,32,32024,RIL_001,06/10/2013,38
230,DN13,2013,sparse,32,32025,RIL_159,06/16/2013,44
231,DN13,2013,sparse,32,32026,RIL_109,06/13/2013,41
232,DN13,2013,sparse,32,32027,RIL_105,06/09/2013,37
233,DN13,2013,sparse,32,32028,RIL_119,06/16/2013,44
234,DN13,2013,sparse,32,32029,RIL_162,06/04/2013,32
235,DN13,2013,sparse,32,32030,RIL_039,05/31/2013,27
236,DN13,2013,sparse,32,32031,RIL_127,06/13/2013,41
237,DN13,2013,sparse,32,32032,RIL_185,06/09/2013,37
238,DN13,2013,sparse,32,32033,RIL_015,05/31/2013,28
239,DN13,2013,sparse,32,32034,RIL_043,06/13/2013,41
240,DN13,2013,sparse,32,32035,A10,06/03/2013,30
241,DN13,2013,sparse,32,32036,RIL_123,06/12/2013,40
242,DN13,2013,sparse,32,32037,RIL_175,06/09/2013,36
243,DN13,2013,sparse,32,32038,RIL_141,06/07/2013,35
244,DN13,2013,sparse,32,32040,RIL_058,06/16/2013,44
245,DN13,2013,sparse,32,32041,B100,06/16/2013,44
246,DN13,2013,sparse,32,32042,RIL_166,06/08/2013,36
247,DN13,2013,sparse,32,32044,RIL_168,06/16/2013,44
248,DN13,2013,sparse,32,32045,RIL_062,06/16/2013,44
249,DN13,2013,sparse,32,32046,RIL_035,06/25/2013,53
250,DN13,2013,sparse,32,32047,B100,06/16/2013,44
251,DN13,2013,sparse,32,32048,RIL_153,06/13/2013,41
252,DN13,2013,sparse,32,32049,RIL_215,06/24/2013,52
253,DN13,2013,sparse,32,32050,A10,06/03/2013,30
254,DN13,2013,sparse,32,32051,RIL_152,06/07/2013,35
255,DN13,2013,sparse,32,32052,RIL_010,06/10/2013,38
256,DN13,2013,sparse,32,32053,A10,06/03/2013,30
257,DN13,2013,sparse,32,32054,RIL_051,06/10/2013,38
258,DN13,2013,sparse,32,32055,RIL_135,06/12/2013,40
259,DN13,2013,sparse,32,32056,RIL_181,06/24/2013,51
260,DN13,2013,sparse,32,32057,RIL_063,06/27/2013,55
261,DN13,2013,sparse,32,32058,RIL_182,06/19/2013,47
262,DN13,2013,sparse,32,32059,RIL_210,06/17/2013,45
263,DN13,2013,sparse,32,32060,RIL_200,06/18/2013,46
264,DN13,2013,sparse,32,32061,RIL_089,06/13/2013,41
265,DN13,2013,sparse,32,32062,RIL_054,06/10/2013,38
266,DN13,2013,sparse,32,32063,RIL_047,06/07/2013,35
267,DN13,2013,sparse,32,32064,RIL_071,06/24/2013,51
268,DN13,2013,sparse,32,32065,RIL_064,06/13/2013,41
269,DN13,2013,sparse,32,32066,RIL_192,06/08/2013,36
270,DN13,2013,sparse,32,32067,B100,06/22/2013,50
271,DN13,2013,sparse,32,32068,RIL_014,06/09/2013,37
272,DN13,2013,sparse,32,32069,RIL_022,06/17/2013,45
273,DN13,2013,sparse,32,32070,RIL_115,06/05/2013,33
274,DN13,2013,sparse,32,32071,RIL_052,06/12/2013,40
275,DN13,2013,sparse,32,32072,RIL_113,06/06/2013,34
276,DN13,2013,sparse,32,32073,RIL_156,06/13/2013,41
277,DN13,2013,sparse,32,32074,RIL_124,06/06/2013,34
278,DN13,2013,sparse,32,32075,RIL_196,06/07/2013,35
279,DN13,2013,sparse,32,32076,RIL_205,06/07/2013,35
280,DN13,2013,sparse,32,32077,RIL_075,06/03/2013,30
281,DN13,2013,sparse,32,32078,RIL_118,06/25/2013,53
282,DN13,2013,sparse,32,32079,RIL_056,06/12/2013,40
283,DN13,2013,sparse,32,32080,RIL_220,06/07/2013,35
284,DN13,2013,sparse,32,32081,RIL_095,06/09/2013,37
285,DN13,2013,sparse,32,32082,RIL_023,06/24/2013,51
286,DN13,2013,sparse,32,32083,RIL_195,06/22/2013,50
287,DN13,2013,sparse,32,32084,B100,06/24/2013,52
288,DN13,2013,sparse,32,32085,RIL_020,06/19/2013,47
289,DN13,2013,sparse,32,32086,RIL_207,06/12/2013,40
290,DN13,2013,sparse,32,32087,RIL_218,06/20/2013,48
291,DN13,2013,sparse,32,32088,RIL_170,07/06/2013,64
292,DN13,2013,sparse,32,32089,RIL_029,06/16/2013,43
293,DN13,2013,sparse,32,32090,B100,06/24/2013,52
294,DN13,2013,sparse,32,32091,RIL_121,06/08/2013,36
295,DN13,2013,sparse,32,32092,RIL_213,06/19/2013,47
296,DN13,2013,sparse,32,32093,RIL_030,06/13/2013,41
297,DN13,2013,sparse,32,32094,RIL_128,06/16/2013,43
298,DN13,2013,sparse,32,32095,B100,06/24/2013,52
299,DN13,2013,sparse,32,32096,RIL_076,06/10/2013,38
300,DN13,2013,sparse,32,32097,RIL_017,06/10/2013,38
301,DN13,2013,sparse,32,32098,RIL_212,06/22/2013,50
302,DN13,2013,sparse,32,32099,RIL_197,06/20/2013,48
303,DN13,2013,sparse,32,32100,RIL_086,06/16/2013,43
304,DN13,2013,sparse,32,32101,RIL_202,06/11/2013,38
305,DN13,2013,sparse,32,32102,RIL_206,06/12/2013,40
306,DN13,2013,sparse,32,32103,RIL_150,06/14/2013,42
307,DN13,2013,sparse,32,32104,RIL_187,06/16/2013,44
308,DN13,2013,sparse,32,32105,RIL_130,06/14/2013,42
309,DN13,2013,sparse,32,32106,RIL_126,05/31/2013,27
310,DN13,2013,sparse,32,32107,RIL_037,06/04/2013,32
311,DN13,2013,sparse,32,32108,RIL_085,06/03/2013,31
312,DN13,2013,sparse,32,32109,RIL_005,06/07/2013,35
313,DN13,2013,sparse,32,32110,RIL_096,06/10/2013,38
314,DN13,2013,sparse,32,32111,RIL_072,06/13/2013,41
315,DN13,2013,sparse,32,32113,RIL_163,06/10/2013,38
316,DN13,2013,sparse,32,32114,RIL_209,06/13/2013,41
317,DN13,2013,sparse,32,32115,RIL_125,06/18/2013,46
318,DN13,2013,sparse,32,32116,RIL_146,06/27/2013,55
319,DN13,2013,sparse,32,32117,A10,06/03/2013,30
320,DN13,2013,sparse,32,32118,RIL_179,06/10/2013,38
321,DN13,2013,sparse,32,32119,RIL_031,06/06/2013,34
322,DN13,2013,sparse,32,32120,RIL_104,06/25/2013,53
323,DN13,2013,sparse,32,32121,B100,06/19/2013,47
324,DN13,2013,sparse,32,32122,B100,06/22/2013,50
325,DN13,2013,sparse,32,32123,RIL_008,06/12/2013,40
326,DN13,2013,sparse,32,32124,RIL_060,06/27/2013,54
327,DN13,2013,sparse,32,32125,RIL_188,06/07/2013,35
328,DN13,2013,sparse,32,32126,RIL_199,06/13/2013,41
329,DN13,2013,sparse,32,32127,A10,06/03/2013,31
330,DN13,2013,sparse,32,32128,RIL_172,06/09/2013,37
331,DN13,2013,sparse,32,32129,RIL_189,06/11/2013,37
332,DN13,2013,sparse,32,32130,RIL_221,06/10/2013,37
333,DN13,2013,sparse,32,32131,RIL_174,06/18/2013,42
334,DN13,2013,sparse,32,32132,RIL_180,06/11/2013,39
335,DN13,2013,sparse,32,32133,B100,06/21/2013,49
336,DN13,2013,sparse,32,32134,A10,06/03/2013,31
337,DN13,2013,sparse,32,32135,RIL_144,06/11/2013,39
338,DN13,2013,sparse,32,32136,RIL_107,06/06/2013,34
339,DN13,2013,sparse,32,32137,RIL_087,05/31/2013,27
340,DN13,2013,sparse,32,32138,RIL_041,06/08/2013,37
341,DN13,2013,sparse,32,32139,RIL_074,06/10/2013,38
342,DN13,2013,sparse,32,32140,RIL_082,06/13/2013,41
343,DN13,2013,sparse,32,32141,RIL_222,06/10/2013,38
344,DN13,2013,sparse,32,32142,A10,06/03/2013,30
345,DN13,2013,sparse,32,32143,RIL_194,06/10/2013,38
346,DN13,2013,sparse,32,32144,RIL_033,06/18/2013,42
347,DN13,2013,sparse,32,32145,RIL_134,06/16/2013,43
348,DN13,2013,sparse,32,32146,RIL_201,06/24/2013,51
349,DN13,2013,sparse,32,32147,RIL_092,06/09/2013,37
350,DN13,2013,sparse,32,32148,RIL_112,06/06/2013,34
351,DN13,2013,sparse,32,32149,A10,06/03/2013,31
352,DN13,2013,sparse,32,32150,RIL_217,06/07/2013,35
353,DN13,2013,sparse,32,32152,RIL_002,06/14/2013,42
354,DN13,2013,sparse,32,32153,RIL_077,06/14/2013,42
355,DN13,2013,sparse,32,32154,RIL_137,06/19/2013,47
356,DN13,2013,sparse,32,32155,RIL_154,06/12/2013,40
357,DN13,2013,sparse,32,32156,B100,06/21/2013,49
358,DN13,2013,sparse,32,32157,RIL_149,06/10/2013,38
359,DN13,2013,sparse,32,32158,RIL_117,06/13/2013,41
360,DN13,2013,sparse,32,32159,RIL_176,06/13/2013,41
361,DN13,2013,sparse,32,32160,RIL_143,06/09/2013,38
362,DN13,2013,sparse,32,32161,RIL_100,06/20/2013,48
363,DN13,2013,sparse,32,32162,RIL_093,06/10/2013,38
364,DN13,2013,sparse,32,32163,RIL_004,06/13/2013,41
365,DN13,2013,sparse,32,32164,RIL_160,06/13/2013,41
366,DN13,2013,sparse,32,32165,RIL_184,06/13/2013,41
367,DN13,2013,sparse,32,32166,RIL_034,06/12/2013,41
368,DN13,2013,sparse,32,32167,RIL_019,06/08/2013,36
369,DN13,2013,sparse,32,32168,A10,05/31/2013,28
370,DN13,2013,sparse,32,32169,RIL_081,06/16/2013,43
371,DN13,2013,sparse,32,32170,RIL_007,06/06/2013,34
372,DN13,2013,sparse,32,32171,RIL_084,06/12/2013,40
373,DN13,2013,sparse,32,32172,RIL_216,06/09/2013,37
374,DN13,2013,sparse,32,32173,RIL_053,06/12/2013,40
375,DN13,2013,sparse,32,32174,RIL_011,06/10/2013,38
376,DN13,2013,sparse,32,32175,RIL_208,06/10/2013,38
377,DN13,2013,sparse,32,32176,RIL_091,06/06/2013,34
378,DN13,2013,sparse,32,32177,RIL_110,06/06/2013,34
379,DN13,2013,sparse,32,32178,RIL_102,06/06/2013,34
380,DN13,2013,sparse,32,32179,RIL_157,06/09/2013,36
381,DN13,2013,sparse,32,32181,RIL_049,06/09/2013,37
382,DN13,2013,sparse,32,32182,B100,06/22/2013,51
383,DN13,2013,sparse,32,32183,RIL_139,06/16/2013,43
384,DN13,2013,sparse,32,32184,RIL_161,06/18/2013,46
385,DN13,2013,sparse,32,32185,RIL_099,06/13/2013,41
386,DN13,2013,sparse,32,32186,RIL_103,06/13/2013,41
387,DN13,2013,sparse,32,32187,RIL_036,06/13/2013,41
388,DN13,2013,sparse,32,32188,RIL_167,06/11/2013,38
389,DN13,2013,sparse,32,32189,RIL_219,06/08/2013,37
390,DN13,2013,sparse,32,32190,RIL_048,06/10/2013,38
391,DN13,2013,sparse,32,32191,RIL_203,06/12/2013,40
392,DN13,2013,sparse,32,32192,RIL_211,06/12/2013,40
393,DN13,2013,sparse,32,32193,B100,06/18/2013,46
394,DN13,2013,sparse,32,32194,RIL_204,06/17/2013,45
395,DN13,2013,sparse,32,32195,RIL_169,06/16/2013,44
396,DN13,2013,sparse,32,32196,RIL_057,06/16/2013,44
397,DN13,2013,sparse,32,32197,RIL_067,06/08/2013,37
398,DN13,2013,sparse,32,32198,RIL_120,06/08/2013,37
399,DN13,2013,sparse,32,32199,RIL_114,06/14/2013,42
400,DN13,2013,sparse,32,32200,RIL_183,06/19/2013,47
401,DN13,2013,sparse,32,32201,B100,06/21/2013,49
402,DN13,2013,sparse,32,32202,RIL_164,06/05/2013,33
403,DN13,2013,sparse,32,32203,RIL_038,06/08/2013,36
404,DN13,2013,sparse,32,32204,RIL_193,06/12/2013,40
405,DN13,2013,sparse,32,32206,A10,06/03/2013,31
406,DN13,2013,sparse,32,32207,RIL_070,06/13/2013,41
407,DN13,2013,sparse,32,32208,RIL_140,06/11/2013,39
408,DN13,2013,sparse,32,32209,A10,06/03/2013,31
409,DN13,2013,sparse,32,32210,B100,06/22/2013,50
410,DN13,2013,dense,33,33001,RIL_026,06/06/2013,34
411,DN13,2013,dense,33,33002,RIL_091,06/06/2013,34
412,DN13,2013,dense,33,33003,RIL_047,06/07/2013,35
413,DN13,2013,dense,33,33004,RIL_152,06/07/2013,35
414,DN13,2013,dense,33,33005,RIL_001,06/13/2013,41
415,DN13,2013,dense,33,33006,A10,06/03/2013,30
416,DN13,2013,dense,33,33007,RIL_120,06/09/2013,37
417,DN13,2013,dense,33,33008,RIL_135,06/16/2013,43
418,DN13,2013,dense,33,33009,RIL_139,06/16/2013,44
419,DN13,2013,dense,33,33010,RIL_195,06/22/2013,52
420,DN13,2013,dense,33,33011,B100,06/24/2013,50
421,DN13,2013,dense,33,33012,RIL_196,06/09/2013,37
422,DN13,2013,dense,33,33013,RIL_038,06/07/2013,35
423,DN13,2013,dense,33,33014,RIL_170,07/06/2013,64
424,DN13,2013,dense,33,33015,RIL_076,06/13/2013,41
425,DN13,2013,dense,33,33016,RIL_089,06/15/2013,44
426,DN13,2013,dense,33,33017,RIL_014,06/12/2013,40
427,DN13,2013,dense,33,33018,RIL_161,06/18/2013,46
428,DN13,2013,dense,33,33019,A10,06/03/2013,30
429,DN13,2013,dense,33,33020,RIL_067,06/09/2013,36
430,DN13,2013,dense,33,33021,RIL_182,06/21/2013,49
431,DN13,2013,dense,33,33022,RIL_051,06/10/2013,38
432,DN13,2013,dense,33,33023,RIL_201,06/25/2013,52
433,DN13,2013,dense,33,33024,RIL_180,06/12/2013,40
434,DN13,2013,dense,33,33025,RIL_205,06/07/2013,35
435,DN13,2013,dense,33,33026,RIL_066,06/17/2013,45
436,DN13,2013,dense,33,33027,A10,06/03/2013,30
437,DN13,2013,dense,33,33028,RIL_030,06/13/2013,41
438,DN13,2013,dense,33,33029,RIL_062,07/01/2013,59
439,DN13,2013,dense,33,33030,RIL_136,06/13/2013,41
440,DN13,2013,dense,33,33031,RIL_011,06/24/2013,52
441,DN13,2013,dense,33,33032,B100,06/21/2013,49
442,DN13,2013,dense,33,33033,RIL_086,06/14/2013,42
443,DN13,2013,dense,33,33034,RIL_171,06/14/2013,42
444,DN13,2013,dense,33,33035,RIL_172,06/10/2013,38
445,DN13,2013,dense,33,33036,RIL_193,06/14/2013,42
446,DN13,2013,dense,33,33037,RIL_181,06/29/2013,57
447,DN13,2013,dense,33,33038,RIL_035,06/29/2013,57
448,DN13,2013,dense,33,33040,RIL_213,06/15/2013,43
449,DN13,2013,dense,33,33041,RIL_098,06/13/2013,41
450,DN13,2013,dense,33,33042,RIL_220,06/08/2013,36
451,DN13,2013,dense,33,33043,B100,06/27/2013,55
452,DN13,2013,dense,33,33044,RIL_102,06/07/2013,35
453,DN13,2013,dense,33,33045,RIL_143,06/14/2013,42
